Etnia,Religião,Xenofobia,Capacitismo,Sexismo,Politica,Assedio,Homofobia,Aparencia,Outros,Calunia,Palavrão
,,,,,,,,,,,arregassado
,,,,,,,,,,,arrombado
,,,,,,,,,,,baitola
,,,,,,,,,,,biba
,,,,,,,,,,,bicha
,,,,,,,,,,,bolagato
,,,,,,,,,,,boqueteiro
,,,,,,,,,,,buceta
,,,,,,,,,,,bundao
,,,,,,,,,,,cabaco
,,,,,,,,,,,cacete
,,,,,,,,,,,cadelona
,,,,,,,,,,,cu
,,,,,,,,,,,fdp
,,,,,,,,,,,fidumaegua
,,,,,,,,,,,filhodaputa
,,,,,,,,,,,fiofo
,,,,,,,,,,,foda
,,,,,,,,,,,fuder
,,,,,,,,,,,fudido
,,,,,,,,,,,fulera
,,,,,,,,,,,galinha
,,,,,,,,,,,gambiarra
,,,,,,,,,,,geisyarruda
,,,,,,,,,,,gnu
,,,,,,,,,,,gonorreia
,,,,,,,,,,,gozado
,,,,,,,,,,,kct
,,,,,,,,,,,ku
,,,,,,,,,,,meretriz
,,,,,,,,,,,passaralho
,,,,,,,,,,,paunocu
,,,,,,,,,,,periquita
,,,,,,,,,,,pimenteira
,,,,,,,,,,,pipoca
,,,,,,,,,,,piranha
,,,,,,,,,,,piroca
,,,,,,,,,,,pistoleira
,,,,,,,,,,,porra
,,,,,,,,,,,prostituta
,,,,,,,,,,,punheta
,,,,,,,,,,,puta
,,,,,,,,,,,putaquepariu
,,,,,,,,,,,viado
,,,,,,,,,,,xavasca
,,,,,,,,,,,xereca
,,,,,,,,,,,xixizento
,,,,,,,,,,,xoxota
,,,,,,,,,,,xupetinha
,,,,,,,,,,,xupisco
,,,,,,,,,,,xurupita
,,,,,,,,,,,xuxexo
,,,,,,,,,,,xxt
,,,,,,,,,,,xxx
,,,,,,,,,,,zebuceta
,,,,,,,,,,,trepadeira
,,,,,,,,,,,rampero
,,,,,,,,,,,rapariga
,,,,,,,,,,,raspadinha
